state,state_per_capita_income
ANDHRA PRADESH,163746
ARUNACHAL PRADESH,190212
ASSAM,90482
BIHAR,43605
CHHATTISGARH,104788
GOA,431351
GUJARAT,212821
HARYANA,229065
HIMACHAL PRADESH,183333
JHARKHAND,71071
KARNATAKA,221310
KERALA,194322
MADHYA PRADESH,103654
MAHARASHTRA,183704
MANIPUR,79797
MEGHALAYA,84638
MIZORAM,187838
NAGALAND,126452
ODISHA,102166
PUNJAB,149193
RAJASTHAN,115122
SIKKIM,412754
TAMIL NADU,212174
TELANGANA,225687
TRIPURA,119789
UTTAR PRADESH,61374
UTTARAKHAND,184002
WEST BENGAL,106510
ANDAMAN AND NICOBAR ISLANDS,197275
CHANDIGARH,291194
DELHI,331112
JAMMU AND KASHMIR,102803
PUDUCHERRY,203178